MeterID,Zone,ConsumerType,Date,EnergyConsumed_kWh,PeakUsage_kWh,OutageMinutes,MeterStatus,TariffRate
MTR0001,North,Commercial,2025-01-01,20.53,6.79,0,Active,7.92
MTR0001,North,Commercial,2025-01-02,20.48,6.62,0,Active,8.69
MTR0001,North,Commercial,2025-01-03,18.28,4.76,0,Active,8.6
MTR0001,North,Commercial,2025-01-04,9.1,1.89,0,Active,7.79
MTR0001,North,Commercial,2025-01-05,9.05,2.77,0,Active,8.4
MTR0001,North,Commercial,2025-01-06,22.07,7.63,0,Active,8.06
MTR0001,North,Commercial,2025-01-07,24.79,6.47,0,Active,8.33
MTR0001,North,Commercial,2025-01-08,23.53,3.7,0,Active,8.33
MTR0001,North,Commercial,2025-01-09,18.93,5.4,0,Active,8.31
MTR0001,North,Commercial,2025-01-10,19.57,5.83,0,Active,8.26
MTR0001,North,Commercial,2025-01-11,10.06,2.76,0,Active,8.21
MTR0001,North,Commercial,2025-01-12,11.24,3.21,105,Active,8.1
MTR0001,North,Commercial,2025-01-13,25.39,5.02,0,Active,8.6
MTR0001,North,Commercial,2025-01-14,28.57,5.99,0,Active,8.12
MTR0001,North,Commercial,2025-01-15,21.18,6.93,0,Active,8.34
MTR0001,North,Commercial,2025-01-16,23.37,6.86,0,Active,8.7
MTR0001,North,Commercial,2025-01-17,22.49,5.21,0,Active,8.35
MTR0001,North,Commercial,2025-01-18,8.75,2.0,0,Active,8.65
MTR0001,North,Commercial,2025-01-19,10.84,2.42,0,Active,8.34
MTR0001,North,Commercial,2025-01-20,23.04,5.54,0,Active,8.5
MTR0001,North,Commercial,2025-01-21,21.38,7.31,0,Active,7.98
MTR0001,North,Commercial,2025-01-22,21.38,7.04,0,Active,7.8
MTR0001,North,Commercial,2025-01-23,23.63,6.05,0,Active,8.39
MTR0001,North,Commercial,2025-01-24,23.12,4.85,0,Active,8.41
MTR0001,North,Commercial,2025-01-25,11.69,3.8,0,Active,8.3
MTR0001,North,Commercial,2025-01-26,11.77,3.61,0,Active,8.35
MTR0001,North,Commercial,2025-01-27,25.93,7.39,0,Active,8.08
MTR0001,North,Commercial,2025-01-28,21.41,4.0,0,Active,8.57
MTR0001,North,Commercial,2025-01-29,21.39,7.3,0,Active,8.14
MTR0001,North,Commercial,2025-01-30,25.28,8.64,0,Active,8.01
MTR0001,North,Commercial,2025-01-31,16.4,2.68,0,Active,8.15
MTR0001,North,Commercial,2025-02-01,12.91,2.07,0,Active,8.19
MTR0001,North,Commercial,2025-02-02,12.85,3.72,0,Active,8.34
MTR0001,North,Commercial,2025-02-03,22.26,5.19,40,Active,7.95
MTR0001,North,Commercial,2025-02-04,22.88,5.76,0,Active,7.82
MTR0001,North,Commercial,2025-02-05,24.85,7.61,0,Active,8.18
MTR0001,North,Commercial,2025-02-06,26.12,5.18,0,Active,7.97
MTR0001,North,Commercial,2025-02-07,27.09,5.86,0,Active,7.92
MTR0001,North,Commercial,2025-02-08,9.99,2.92,0,Active,8.33
MTR0001,North,Commercial,2025-02-09,11.31,3.77,57,Active,8.4
MTR0001,North,Commercial,2025-02-10,18.67,5.12,0,Active,8.49
MTR0001,North,Commercial,2025-02-11,20.37,6.52,207,Active,8.64
MTR0001,North,Commercial,2025-02-12,24.7,7.52,0,Active,8.2
MTR0001,North,Commercial,2025-02-13,22.46,5.41,0,Active,8.64
MTR0001,North,Commercial,2025-02-14,26.52,8.29,0,Active,8.36
MTR0001,North,Commercial,2025-02-15,12.31,2.38,0,Active,8.38
MTR0001,North,Commercial,2025-02-16,12.6,1.97,0,Active,8.22
MTR0001,North,Commercial,2025-02-17,21.88,6.46,0,Active,8.63
MTR0001,North,Commercial,2025-02-18,27.32,8.96,0,Active,8.2
MTR0001,North,Commercial,2025-02-19,24.09,6.95,0,Active,8.21
MTR0001,North,Commercial,2025-02-20,19.88,3.0,238,Active,8.42
MTR0001,North,Commercial,2025-02-21,23.62,7.78,0,Active,8.15
MTR0001,North,Commercial,2025-02-22,10.28,2.1,0,Active,7.89
MTR0001,North,Commercial,2025-02-23,12.56,3.55,0,Active,8.17
MTR0001,North,Commercial,2025-02-24,26.52,5.21,0,Active,8.21
MTR0001,North,Commercial,2025-02-25,21.32,5.56,0,Active,8.29
MTR0001,North,Commercial,2025-02-26,27.42,7.22,0,Active,7.89
MTR0001,North,Commercial,2025-02-27,22.87,5.78,194,Active,8.26
MTR0001,North,Commercial,2025-02-28,22.37,3.78,0,Active,8.1
MTR0001,North,Commercial,2025-03-01,12.27,2.21,0,Active,8.08
MTR0001,North,Commercial,2025-03-02,13.99,4.5,0,Active,7.91
MTR0001,North,Commercial,2025-03-03,17.83,5.29,0,Active,8.21
MTR0001,North,Commercial,2025-03-04,23.58,7.04,0,Active,8.3
MTR0001,North,Commercial,2025-03-05,28.43,4.86,0,Active,8.01
MTR0001,North,Commercial,2025-03-06,21.4,3.64,0,Active,8.65
MTR0001,North,Commercial,2025-03-07,23.03,7.96,0,Active,8.63
MTR0001,North,Commercial,2025-03-08,11.87,2.72,0,Active,8.98
MTR0001,North,Commercial,2025-03-09,13.25,3.07,0,Active,8.11
MTR0001,North,Commercial,2025-03-10,22.64,4.29,0,Active,8.27
MTR0001,North,Commercial,2025-03-11,24.12,4.4,0,Active,7.72
MTR0001,North,Commercial,2025-03-12,26.02,5.17,0,Active,8.19
MTR0001,North,Commercial,2025-03-13,24.36,5.01,0,Active,7.87
MTR0001,North,Commercial,2025-03-14,22.95,5.59,0,Active,8.27
MTR0001,North,Commercial,2025-03-15,10.61,3.63,0,Active,7.73
MTR0001,North,Commercial,2025-03-16,9.24,1.85,0,Active,8.17
MTR0001,North,Commercial,2025-03-17,24.1,7.96,0,Active,7.93
MTR0001,North,Commercial,2025-03-18,20.79,3.42,0,Active,8.51
MTR0001,North,Commercial,2025-03-19,22.95,3.89,0,Active,8.0
MTR0001,North,Commercial,2025-03-20,22.6,4.14,0,Active,8.12
MTR0001,North,Commercial,2025-03-21,27.28,7.28,0,Active,8.32
MTR0001,North,Commercial,2025-03-22,9.89,2.28,0,Active,8.16
MTR0001,North,Commercial,2025-03-23,14.43,4.88,0,Active,8.14
MTR0001,North,Commercial,2025-03-24,20.54,4.17,0,Active,8.02
MTR0001,North,Commercial,2025-03-25,25.42,6.1,0,Active,8.44
MTR0001,North,Commercial,2025-03-26,27.64,8.98,0,Active,8.33
MTR0001,North,Commercial,2025-03-27,28.25,5.62,0,Active,7.99
MTR0001,North,Commercial,2025-03-28,24.63,7.52,0,Active,8.66
MTR0001,North,Commercial,2025-03-29,11.89,3.06,0,Active,8.22
